Unnamed: 0,rank,discipline,yrs.since.phd,yrs.service,sex,salary,salary_in_lakhs
190.0,AssocProf,B,13.0,10.0,Female,103750,1.0375
191.0,Prof,B,18.0,10.0,Male,107500,1.075
192.0,AssocProf,B,28.0,28.0,Male,106300,1.063
193.0,Prof,B,25.0,19.0,Male,153750,1.5375
194.0,Prof,B,22.0,9.0,Male,180000,1.8
195.0,Prof,B,43.0,22.0,Male,133700,1.337
196.0,Prof,B,19.0,18.0,Male,122100,1.221
197.0,AssocProf,B,19.0,19.0,Male,86250,0.8625
198.0,AssocProf,B,48.0,53.0,Male,90000,0.9
199.0,AssocProf,B,9.0,7.0,Male,113600,1.136
200.0,AsstProf,B,4.0,4.0,Male,92700,0.927
201.0,AsstProf,B,4.0,4.0,Male,92000,0.92
202.0,Prof,B,34.0,33.0,Male,189409,1.89409
203.0,Prof,B,38.0,22.0,Male,114500,1.145
204.0,AsstProf,B,4.0,4.0,Male,92700,0.927
205.0,Prof,B,40.0,40.0,Male,119700,1.197
206.0,Prof,B,28.0,17.0,Male,160400,1.604
207.0,Prof,B,17.0,17.0,Male,152500,1.525
208.0,Prof,B,19.0,5.0,Male,165000,1.65
209.0,Prof,B,21.0,2.0,Male,96545,0.96545
210.0,Prof,B,35.0,33.0,Male,162200,1.622
211.0,Prof,B,18.0,18.0,Male,120000,1.2
212.0,AsstProf,B,7.0,2.0,Male,91300,0.913
213.0,Prof,B,20.0,20.0,Male,163200,1.632
214.0,AsstProf,B,4.0,3.0,Male,91000,0.91
215.0,Prof,B,39.0,39.0,Male,111350,1.1135
216.0,Prof,B,15.0,7.0,Male,128400,1.284
217.0,Prof,B,26.0,19.0,Male,126200,1.262
218.0,AssocProf,B,11.0,1.0,Male,118700,1.187
219.0,Prof,B,16.0,11.0,Male,145350,1.4535
220.0,Prof,B,15.0,11.0,Male,146000,1.46
221.0,AssocProf,B,29.0,22.0,Male,105350,1.0535
222.0,AssocProf,B,14.0,7.0,Female,109650,1.0965
223.0,Prof,B,13.0,11.0,Male,119500,1.195
224.0,Prof,B,21.0,21.0,Male,170000,1.7
225.0,Prof,B,23.0,10.0,Male,145200,1.452
226.0,AssocProf,B,13.0,6.0,Male,107150,1.0715
227.0,Prof,B,34.0,20.0,Male,129600,1.296
228.0,Prof,A,38.0,35.0,Male,87800,0.878
229.0,Prof,A,20.0,20.0,Male,122400,1.224
230.0,AsstProf,A,3.0,1.0,Male,63900,0.639
231.0,AssocProf,A,9.0,7.0,Male,70000,0.7
232.0,Prof,A,16.0,11.0,Male,88175,0.88175
233.0,Prof,A,39.0,38.0,Male,133900,1.339
234.0,Prof,A,29.0,27.0,Female,91000,0.91
235.0,AssocProf,A,26.0,24.0,Female,73300,0.733
236.0,Prof,A,38.0,19.0,Male,148750,1.4875
237.0,Prof,A,36.0,19.0,Female,117555,1.17555
238.0,AsstProf,A,8.0,3.0,Male,69700,0.697
239.0,Prof,A,28.0,17.0,Male,81700,0.817
240.0,Prof,A,25.0,25.0,Male,114000,1.14
241.0,AsstProf,A,7.0,6.0,Female,63100,0.631
242.0,Prof,A,46.0,40.0,Male,77202,0.77202
243.0,Prof,A,19.0,6.0,Male,96200,0.962
244.0,AsstProf,A,5.0,3.0,Male,69200,0.692
245.0,Prof,A,31.0,30.0,Male,122875,1.22875
246.0,Prof,A,38.0,37.0,Male,102600,1.026
247.0,Prof,A,23.0,23.0,Male,108200,1.082
248.0,Prof,A,19.0,23.0,Male,84273,0.84273
249.0,Prof,A,17.0,11.0,Female,90450,0.9045
250.0,Prof,A,30.0,23.0,Male,91100,0.911
251.0,Prof,A,21.0,18.0,Male,101100,1.011
252.0,Prof,A,28.0,23.0,Male,128800,1.288
253.0,Prof,A,29.0,7.0,Male,204000,2.04
254.0,Prof,A,39.0,39.0,Male,109000,1.09
255.0,Prof,A,20.0,8.0,Male,102000,1.02
256.0,Prof,A,31.0,12.0,Male,132000,1.32
257.0,AsstProf,A,4.0,2.0,Female,77500,0.775
258.0,Prof,A,28.0,7.0,Female,116450,1.1645
259.0,AssocProf,A,12.0,8.0,Male,83000,0.83
260.0,Prof,A,22.0,22.0,Male,140300,1.403
261.0,AssocProf,A,30.0,23.0,Male,74000,0.74
262.0,AsstProf,A,9.0,3.0,Male,73800,0.738
263.0,Prof,A,32.0,30.0,Male,92550,0.9255
264.0,AssocProf,A,41.0,33.0,Male,88600,0.886
265.0,Prof,A,45.0,45.0,Male,107550,1.0755
266.0,Prof,A,31.0,26.0,Male,121200,1.212
267.0,Prof,A,31.0,31.0,Male,126000,1.26
268.0,Prof,A,37.0,35.0,Male,99000,0.99
269.0,Prof,A,36.0,30.0,Male,134800,1.348
270.0,Prof,A,43.0,43.0,Male,143940,1.4394
271.0,Prof,A,14.0,10.0,Male,104350,1.0435
272.0,Prof,A,47.0,44.0,Male,89650,0.8965
273.0,Prof,A,13.0,7.0,Male,103700,1.037
274.0,Prof,A,42.0,40.0,Male,143250,1.4325
275.0,Prof,A,42.0,18.0,Male,194800,1.948
276.0,AsstProf,A,4.0,1.0,Male,73000,0.73
277.0,AsstProf,A,8.0,4.0,Male,74000,0.74
278.0,AsstProf,A,8.0,3.0,Female,78500,0.785
279.0,Prof,A,12.0,6.0,Male,93000,0.93
280.0,Prof,A,52.0,48.0,Male,107200,1.072
281.0,Prof,A,31.0,27.0,Male,163200,1.632
282.0,Prof,A,24.0,18.0,Male,107100,1.071
283.0,Prof,A,46.0,46.0,Male,100600,1.006
284.0,Prof,A,39.0,38.0,Male,136500,1.365
285.0,Prof,A,37.0,27.0,Male,103600,1.036
286.0,Prof,A,51.0,51.0,Male,57800,0.578
287.0,Prof,A,45.0,43.0,Male,155865,1.55865
288.0,AssocProf,A,8.0,6.0,Male,88650,0.8865
289.0,AssocProf,A,49.0,49.0,Male,81800,0.818
290.0,Prof,A,28.0,27.0,Male,115800,1.158
291.0,AsstProf,A,2.0,0.0,Male,85000,0.85
292.0,Prof,A,29.0,27.0,Male,150500,1.505
293.0,AsstProf,A,8.0,5.0,Male,74000,0.74
294.0,Prof,A,33.0,7.0,Male,174500,1.745
295.0,Prof,A,32.0,28.0,Male,168500,1.685
296.0,Prof,A,39.0,9.0,Male,183800,1.838
297.0,AssocProf,A,11.0,1.0,Male,104800,1.048
298.0,Prof,A,19.0,7.0,Male,107300,1.073
299.0,Prof,A,40.0,36.0,Male,97150,0.9715
300.0,Prof,A,18.0,18.0,Male,126300,1.263
301.0,Prof,A,17.0,11.0,Male,148800,1.488
302.0,Prof,A,49.0,43.0,Male,72300,0.723
303.0,AssocProf,A,45.0,39.0,Male,70700,0.707
304.0,Prof,A,39.0,36.0,Male,88600,0.886
305.0,Prof,A,27.0,16.0,Male,127100,1.271
306.0,Prof,A,28.0,13.0,Male,170500,1.705
307.0,Prof,A,14.0,4.0,Male,105260,1.0526
308.0,Prof,A,46.0,44.0,Male,144050,1.4405
309.0,Prof,A,33.0,31.0,Male,111350,1.1135
310.0,AsstProf,A,7.0,4.0,Male,74500,0.745
311.0,Prof,A,31.0,28.0,Male,122500,1.225
312.0,AsstProf,A,5.0,0.0,Male,74000,0.74
313.0,Prof,A,22.0,15.0,Male,166800,1.668
314.0,Prof,A,20.0,7.0,Male,92050,0.9205
315.0,Prof,A,14.0,9.0,Male,108100,1.081
316.0,Prof,A,29.0,19.0,Male,94350,0.9435
317.0,Prof,A,35.0,35.0,Male,100351,1.00351
318.0,Prof,A,22.0,6.0,Male,146800,1.468
319.0,AsstProf,B,6.0,3.0,Male,84716,0.84716
320.0,AssocProf,B,12.0,9.0,Female,71065,0.71065
321.0,Prof,B,46.0,45.0,Male,67559,0.67559
322.0,Prof,B,16.0,16.0,Male,134550,1.3455
323.0,Prof,B,16.0,15.0,Male,135027,1.35027
324.0,Prof,B,24.0,23.0,Male,104428,1.04428
325.0,AssocProf,B,9.0,9.0,Male,95642,0.95642
326.0,AssocProf,B,13.0,11.0,Male,126431,1.26431
327.0,Prof,B,24.0,15.0,Female,161101,1.61101
328.0,Prof,B,30.0,31.0,Male,162221,1.62221
329.0,AsstProf,B,8.0,4.0,Male,84500,0.845
330.0,Prof,B,23.0,15.0,Male,124714,1.24714
331.0,Prof,B,37.0,37.0,Male,151650,1.5165
332.0,AssocProf,B,10.0,10.0,Male,99247,0.99247
333.0,Prof,B,23.0,23.0,Male,134778,1.34778
334.0,Prof,B,49.0,60.0,Male,192253,1.92253
335.0,Prof,B,20.0,9.0,Male,116518,1.16518
336.0,Prof,B,18.0,10.0,Female,105450,1.0545
337.0,Prof,B,33.0,19.0,Male,145098,1.45098
338.0,AssocProf,B,19.0,6.0,Female,104542,1.04542
339.0,Prof,B,36.0,38.0,Male,151445,1.51445
340.0,Prof,B,35.0,23.0,Male,98053,0.98053
341.0,Prof,B,13.0,12.0,Male,145000,1.45
342.0,Prof,B,32.0,25.0,Male,128464,1.28464
343.0,Prof,B,37.0,15.0,Male,137317,1.37317
344.0,Prof,B,13.0,11.0,Male,106231,1.06231
345.0,Prof,B,17.0,17.0,Female,124312,1.24312
346.0,Prof,B,38.0,38.0,Male,114596,1.14596
347.0,Prof,B,31.0,31.0,Male,162150,1.6215
348.0,Prof,B,32.0,35.0,Male,150376,1.50376
349.0,Prof,B,15.0,10.0,Male,107986,1.07986
350.0,Prof,B,41.0,27.0,Male,142023,1.42023
351.0,Prof,B,39.0,33.0,Male,128250,1.2825
352.0,AsstProf,B,4.0,3.0,Male,80139,0.80139
353.0,Prof,B,27.0,28.0,Male,144309,1.44309
354.0,Prof,B,56.0,49.0,Male,186960,1.8696
355.0,Prof,B,38.0,38.0,Male,93519,0.93519
356.0,Prof,B,26.0,27.0,Male,142500,1.425
357.0,Prof,B,22.0,20.0,Male,138000,1.38
358.0,AsstProf,B,8.0,1.0,Male,83600,0.836
359.0,Prof,B,25.0,21.0,Male,145028,1.45028
360.0,Prof,A,49.0,40.0,Male,88709,0.88709
361.0,Prof,A,39.0,35.0,Male,107309,1.07309
362.0,Prof,A,28.0,14.0,Female,109954,1.09954
363.0,AsstProf,A,11.0,4.0,Male,78785,0.78785
364.0,Prof,A,14.0,11.0,Male,121946,1.21946
365.0,Prof,A,23.0,15.0,Female,109646,1.09646
366.0,Prof,A,30.0,30.0,Male,138771,1.38771
367.0,AssocProf,A,20.0,17.0,Male,81285,0.81285
368.0,Prof,A,43.0,43.0,Male,205500,2.055
369.0,Prof,A,43.0,40.0,Male,101036,1.01036
370.0,Prof,A,15.0,10.0,Male,115435,1.15435
371.0,AssocProf,A,10.0,1.0,Male,108413,1.08413
372.0,Prof,A,35.0,30.0,Male,131950,1.3195
373.0,Prof,A,33.0,31.0,Male,134690,1.3469
374.0,AssocProf,A,13.0,8.0,Male,78182,0.78182
375.0,Prof,A,23.0,20.0,Male,110515,1.10515
376.0,Prof,A,12.0,7.0,Male,109707,1.09707
377.0,Prof,A,30.0,26.0,Male,136660,1.3666
378.0,Prof,A,27.0,19.0,Male,103275,1.03275
379.0,Prof,A,28.0,26.0,Male,103649,1.03649
380.0,AsstProf,A,4.0,1.0,Male,74856,0.74856
381.0,AsstProf,A,6.0,3.0,Male,77081,0.77081
382.0,Prof,A,38.0,38.0,Male,150680,1.5068
383.0,AssocProf,A,11.0,8.0,Male,104121,1.04121
384.0,AsstProf,A,8.0,3.0,Male,75996,0.75996
385.0,Prof,A,27.0,23.0,Male,172505,1.72505
386.0,AssocProf,A,8.0,5.0,Male,86895,0.86895
387.0,Prof,A,44.0,44.0,Male,105000,1.05
388.0,Prof,A,27.0,21.0,Male,125192,1.25192
389.0,Prof,A,15.0,9.0,Male,114330,1.1433
390.0,Prof,A,29.0,27.0,Male,139219,1.39219
391.0,Prof,A,29.0,15.0,Male,109305,1.09305
392.0,Prof,A,38.0,36.0,Male,119450,1.1945
393.0,Prof,A,33.0,18.0,Male,186023,1.86023
394.0,Prof,A,40.0,19.0,Male,166605,1.66605
395.0,Prof,A,30.0,19.0,Male,151292,1.51292
396.0,Prof,A,33.0,30.0,Male,103106,1.03106
397.0,Prof,A,31.0,19.0,Male,150564,1.50564
398.0,Prof,A,42.0,25.0,Male,101738,1.01738
399.0,Prof,A,25.0,15.0,Male,95329,0.95329
400.0,AsstProf,A,8.0,4.0,Male,81035,0.81035
,AsstProf,A,8.0,5.0,Female,85000,0.85
