,rank,discipline,yrs.since.phd,yrs.service,sex,salary
195,Prof,B,43,22,Male,133700
196,Prof,B,19,18,Male,122100
197,AssocProf,B,19,19,Male,86250
198,AssocProf,B,48,53,Male,90000
199,AssocProf,B,9,7,Male,113600
200,AsstProf,B,4,4,Male,92700
201,AsstProf,B,4,4,Male,92000
202,Prof,B,34,33,Male,189409
203,Prof,B,38,22,Male,114500
204,AsstProf,B,4,4,Male,92700
205,Prof,B,40,40,Male,119700
206,Prof,B,28,17,Male,160400
207,Prof,B,17,17,Male,152500
208,Prof,B,19,5,Male,165000
209,Prof,B,21,2,Male,96545
210,Prof,B,35,33,Male,162200
211,Prof,B,18,18,Male,120000
212,AsstProf,B,7,2,Male,91300
213,Prof,B,20,20,Male,163200
214,AsstProf,B,4,3,Male,91000
215,Prof,B,39,39,Male,111350
216,Prof,B,15,7,Male,128400
217,Prof,B,26,19,Male,126200
218,AssocProf,B,11,1,Male,118700
219,Prof,B,16,11,Male,145350
220,Prof,B,15,11,Male,146000
221,AssocProf,B,29,22,Male,105350
222,AssocProf,B,14,7,Female,109650
223,Prof,B,13,11,Male,119500
224,Prof,B,21,21,Male,170000
225,Prof,B,23,10,Male,145200
226,AssocProf,B,13,6,Male,107150
227,Prof,B,34,20,Male,129600
228,Prof,A,38,35,Male,87800
229,Prof,A,20,20,Male,122400
230,AsstProf,A,3,1,Male,63900
231,AssocProf,A,9,7,Male,70000
232,Prof,A,16,11,Male,88175
233,Prof,A,39,38,Male,133900
234,Prof,A,29,27,Female,91000
235,AssocProf,A,26,24,Female,73300
236,Prof,A,38,19,Male,148750
237,Prof,A,36,19,Female,117555
238,AsstProf,A,8,3,Male,69700
239,Prof,A,28,17,Male,81700
240,Prof,A,25,25,Male,114000
241,AsstProf,A,7,6,Female,63100
242,Prof,A,46,40,Male,77202
243,Prof,A,19,6,Male,96200
244,AsstProf,A,5,3,Male,69200
245,Prof,A,31,30,Male,122875
246,Prof,A,38,37,Male,102600
247,Prof,A,23,23,Male,108200
248,Prof,A,19,23,Male,84273
249,Prof,A,17,11,Female,90450
250,Prof,A,30,23,Male,91100
251,Prof,A,21,18,Male,101100
252,Prof,A,28,23,Male,128800
253,Prof,A,29,7,Male,204000
254,Prof,A,39,39,Male,109000
255,Prof,A,20,8,Male,102000
256,Prof,A,31,12,Male,132000
257,AsstProf,A,4,2,Female,77500
258,Prof,A,28,7,Female,116450
259,AssocProf,A,12,8,Male,83000
260,Prof,A,22,22,Male,140300
261,AssocProf,A,30,23,Male,74000
262,AsstProf,A,9,3,Male,73800
263,Prof,A,32,30,Male,92550
264,AssocProf,A,41,33,Male,88600
265,Prof,A,45,45,Male,107550
266,Prof,A,31,26,Male,121200
267,Prof,A,31,31,Male,126000
268,Prof,A,37,35,Male,99000
269,Prof,A,36,30,Male,134800
270,Prof,A,43,43,Male,143940
271,Prof,A,14,10,Male,104350
272,Prof,A,47,44,Male,89650
273,Prof,A,13,7,Male,103700
274,Prof,A,42,40,Male,143250
275,Prof,A,42,18,Male,194800
276,AsstProf,A,4,1,Male,73000
277,AsstProf,A,8,4,Male,74000
278,AsstProf,A,8,3,Female,78500
279,Prof,A,12,6,Male,93000
280,Prof,A,52,48,Male,107200
281,Prof,A,31,27,Male,163200
282,Prof,A,24,18,Male,107100
283,Prof,A,46,46,Male,100600
284,Prof,A,39,38,Male,136500
285,Prof,A,37,27,Male,103600
286,Prof,A,51,51,Male,57800
287,Prof,A,45,43,Male,155865
288,AssocProf,A,8,6,Male,88650
289,AssocProf,A,49,49,Male,81800
290,Prof,A,28,27,Male,115800
291,AsstProf,A,2,0,Male,85000
292,Prof,A,29,27,Male,150500
293,AsstProf,A,8,5,Male,74000
294,Prof,A,33,7,Male,174500
295,Prof,A,32,28,Male,168500
296,Prof,A,39,9,Male,183800
297,AssocProf,A,11,1,Male,104800
298,Prof,A,19,7,Male,107300
299,Prof,A,40,36,Male,97150
300,Prof,A,18,18,Male,126300
301,Prof,A,17,11,Male,148800
302,Prof,A,49,43,Male,72300
303,AssocProf,A,45,39,Male,70700
304,Prof,A,39,36,Male,88600
305,Prof,A,27,16,Male,127100
306,Prof,A,28,13,Male,170500
307,Prof,A,14,4,Male,105260
308,Prof,A,46,44,Male,144050
309,Prof,A,33,31,Male,111350
310,AsstProf,A,7,4,Male,74500
311,Prof,A,31,28,Male,122500
312,AsstProf,A,5,0,Male,74000
313,Prof,A,22,15,Male,166800
314,Prof,A,20,7,Male,92050
315,Prof,A,14,9,Male,108100
316,Prof,A,29,19,Male,94350
317,Prof,A,35,35,Male,100351
318,Prof,A,22,6,Male,146800
319,AsstProf,B,6,3,Male,84716
320,AssocProf,B,12,9,Female,71065
321,Prof,B,46,45,Male,67559
322,Prof,B,16,16,Male,134550
323,Prof,B,16,15,Male,135027
324,Prof,B,24,23,Male,104428
325,AssocProf,B,9,9,Male,95642
326,AssocProf,B,13,11,Male,126431
327,Prof,B,24,15,Female,161101
328,Prof,B,30,31,Male,162221
329,AsstProf,B,8,4,Male,84500
330,Prof,B,23,15,Male,124714
331,Prof,B,37,37,Male,151650
332,AssocProf,B,10,10,Male,99247
333,Prof,B,23,23,Male,134778
334,Prof,B,49,60,Male,192253
335,Prof,B,20,9,Male,116518
336,Prof,B,18,10,Female,105450
337,Prof,B,33,19,Male,145098
338,AssocProf,B,19,6,Female,104542
339,Prof,B,36,38,Male,151445
340,Prof,B,35,23,Male,98053
341,Prof,B,13,12,Male,145000
342,Prof,B,32,25,Male,128464
343,Prof,B,37,15,Male,137317
344,Prof,B,13,11,Male,106231
345,Prof,B,17,17,Female,124312
346,Prof,B,38,38,Male,114596
347,Prof,B,31,31,Male,162150
348,Prof,B,32,35,Male,150376
349,Prof,B,15,10,Male,107986
350,Prof,B,41,27,Male,142023
351,Prof,B,39,33,Male,128250
352,AsstProf,B,4,3,Male,80139
353,Prof,B,27,28,Male,144309
354,Prof,B,56,49,Male,186960
355,Prof,B,38,38,Male,93519
356,Prof,B,26,27,Male,142500
357,Prof,B,22,20,Male,138000
358,AsstProf,B,8,1,Male,83600
359,Prof,B,25,21,Male,145028
360,Prof,A,49,40,Male,88709
361,Prof,A,39,35,Male,107309
362,Prof,A,28,14,Female,109954
363,AsstProf,A,11,4,Male,78785
364,Prof,A,14,11,Male,121946
365,Prof,A,23,15,Female,109646
366,Prof,A,30,30,Male,138771
367,AssocProf,A,20,17,Male,81285
368,Prof,A,43,43,Male,205500
369,Prof,A,43,40,Male,101036
370,Prof,A,15,10,Male,115435
371,AssocProf,A,10,1,Male,108413
372,Prof,A,35,30,Male,131950
373,Prof,A,33,31,Male,134690
374,AssocProf,A,13,8,Male,78182
375,Prof,A,23,20,Male,110515
376,Prof,A,12,7,Male,109707
377,Prof,A,30,26,Male,136660
378,Prof,A,27,19,Male,103275
379,Prof,A,28,26,Male,103649
380,AsstProf,A,4,1,Male,74856
381,AsstProf,A,6,3,Male,77081
382,Prof,A,38,38,Male,150680
383,AssocProf,A,11,8,Male,104121
384,AsstProf,A,8,3,Male,75996
385,Prof,A,27,23,Male,172505
386,AssocProf,A,8,5,Male,86895
387,Prof,A,44,44,Male,105000
388,Prof,A,27,21,Male,125192
389,Prof,A,15,9,Male,114330
390,Prof,A,29,27,Male,139219
391,Prof,A,29,15,Male,109305
392,Prof,A,38,36,Male,119450
393,Prof,A,33,18,Male,186023
394,Prof,A,40,19,Male,166605
395,Prof,A,30,19,Male,151292
396,Prof,A,33,30,Male,103106
397,Prof,A,31,19,Male,150564
398,Prof,A,42,25,Male,101738
399,Prof,A,25,15,Male,95329
400,AsstProf,A,8,4,Male,81035
